overall,reviews,summary
3,"I've never had trouble wearing any sort of material in the ear piercings I had as an adolescent, but not so with the second piercing I added to my ears last year. Now it seems that only gold will do.  Because I prefer real gemstone to CZ jewelry, I decided to look for inexpensive 10K white gold gemstone earrings. I love rhodolite, so these were the first I bought from GemKing. At 5mm, they are a great size for a second piercing. They are large enough to not look like a tiny dot in my ear, but not so big as to interfere with anything I might wear in the other hole.

After trying these out I bought additional pairs from GemKing, in amethyst, white topaz, and mystic blue topaz. I even splurged for a more expensive 6mm pair in a mystic canary color. I am fully color coordinated, and while the earrings are not as substantial as more expensive studs, they are wearable 24/7. While in bed the posts don't poke because they are too long, nor do they bend because they are too weak. I recommend them to anyone looking for an inexpensive way to fill out their earring collection with real gold, real gemstone jewelry.",Nice for a second ear piercing
3,Not sturdy enough,Three Stars
3,It doesn't fits as well as I expected also its fabric is not good because after the first wash it looks like two-year used. Really.,I'm gonna give it 3 stars.
3,They seemed good quality but they were too small for ankles actually smaller than the wrist cuffs I own.  Returned to vendor for refund.,They seemed good quality but they were too small for ankles actually ...
3,"Good shoe that is comfortable. I played two rounds and, on one of the shoes, the heel part on the sole was flapping. I added superglue but after another two rounds I see that the loose part is gone. I would expect a shoe to last longer than this.
The shoe is waterproof and I enjoy walking in them.","OK, comfortable but the heel part came off"
3,The crystal is not very usefull for anything its smaller then a dime its more like half the size of a dime and the most its good for is super glueing it to a necklace i don't recomend it if you have children,its smaller then a dime
3,"I am a big cri de coeur fan and own more than 5 pairs. I've been on a hunt for booties exactly this color and style that were vegan and was SO excited to find these from one of my favorite brands. The boots are great, fit great BUT the problem is (and i've not experienced this with any of their other boots) is that the fabric started peeling the first day i wore them And it got worse when I wore them two days in a row. Big chunk of the tan fabric came off in the back and little pieces around the strap. I am pretty disappointed by the fact that it started doing that and SO fast. And these boots aren't cheap! I will keep wearing them but I'm gonna have to like color in the missing pieces or something cuz i cant return them at this point. lol",love these booties BUT...
3,Very thin material. Looks good on but it does shrink after washing and becomes shorter. That won't bother some women but I like my tops longer.,Very nice but shrinks
3,"This bag is very roomy and has good quality, but it doesn't have zipper, and too heavy for me, this is the reason why I return it","This bag is very roomy and has good quality, but"
3,"They are not the best,meaning there are a few things wrong with them.  The waist is sooo... high on these pants.  I've had other scrub pants and they fit alot better.  The seams were only sewed with one single line stitch.  Nursing scrub pants need to be made better.  I've said my peace, now I'm better.  Pam Vehrs",3
3,Tarnishes quickly constantly cleaning!,Three Stars
3,"I love Invicta watches and own several.  I thought I would try this one, but unfortunately it was way too large and way too heavy with the bracelet band on.  Had to return it, but had no issues with Amazon's customer service.  The representative was very polite and helpful and I received my refund in no time.",Too large and too heavy
3,It was ok unless you looked closely at it. Button fell off first time wearing it. Overpriced for quality. Hat not great.,Hat not great.
3,"I like the look and it is true to size. But it is very uncomfortable. It says it's leather but i am doubting it is, because of the way it feels.",Like it but not comfortable
3,"There is no shamrock on the shoulder... or, anywhere on the hoodie. No shamrocks. Nowhere on the entire hoodie does it have the words ""Philly, PA."" The stripes on the arms have stitching facing out that reads ""Cast & Crew Season 8."" Fits well. Many compliments. I wish the shamrock was on the left shoulder, as described. Small brown stain on the left arm upon opening. Again, this is a very cool hoodie, but I'm just a little disappointed.","this is a very cool hoodie, but I'm just a little disappointed"
3,"it was a little yellowish, but fixable.",Three Stars
3,Ring was damaged and defects it and too small for size 5. Seller sent me size 6. Thank you!,Three Stars
3,"The hat was far too large.  I'm 6ft 1"" and this thing enveloped my head, with the sides extending partway down and over my ears.

Aside from that it looks reasonably well made.  The velcro thing at the back tightens it nicely.  Sadly this thing wasn't made for me however.  Looks a decent cap if you've got a sizable dome.",One Size Not Fitting All
3,foam in crotch feels funny size runs small by a size,Different
